sampleID;adiponectin
T10-1-4;0.88
T14-1-4;0.48
T10-2-3;0.92
T14-2-2;5.01
T11-1-6;0.62
T14-2-3;1.05
T12-1-6;1.03
T15-1-6;0.67
T13-1-2;1.24
T16-1-5;0.79
T13-2-4;5.80
T10-1-5;0.81
T11-1-5;1.14
T12-1-5;1.10
T13-1-1;1.02
T13-2-2;2.24
T16-1-6;0.81
T19-1-4;0.77
T19-2-5;1.30
T17-1-3;3.05
T19-2-6;0.62
T17-2-3;1.38
T21-1-3;1.14
T18-1-5;1.70
T21-2-5;0.92
T18-2-5;0.81
T22-1-4;0.71
T16-2-5;4.04
T22-2-4;1.01
T16-2-6;0.63
T17-1-4;1.56
T21-1-1;0.76
T17-2-4;1.73
T21-2-4;0.87
T18-1-6;0.76
T22-1-2;0.89
T18-2-6;0.76
T22-2-3;2.61
T19-1-5;0.59
T23-1-5;0.72
T29-2-2;1.79
T23-2-5;0.83
T31-1-3;0.72
T24-1-4;1.69
T31-2-6;5.76
T26-1-4;0.71
T33-1-4;0.60
T29-1-6;0.70
T33-2-4;2.96
T26-2-6;0.97
T37-2-6;0.70
T23-1-6;1.12
T29-2-4;0.68
T23-2-6;0.83
T31-1-4;1.03
T26-1-3;0.67
T33-1-3;0.94
T26-2-5;0.73
T33-2-3;3.94
T29-1-4;0.70
T34-1-5;0.63
T38-1-6;1.43
T34-2-5;1.63
T35-1-3;12.31
T38-2-6;24.64
T35-2-3;0.87
T42-1-5;1.28
T37-1-4;5.01
T43-1-5;0.68
T37-2-5;0.73
T34-1-6;0.59
T38-1-4;1.92
T34-2-6;1.32
T38-2-4;13.71
T35-1-4;0.79
T42-1-6;15.34
T35-2-4;2.05
T37-1-5;0.68
T43-1-6;0.56
T45-1-1;1.81
T45-1-4;8.31
T51-2-1;1.33
T46-2-4;0.94
T52-1-5;0.87
T47-1-3;0.94
T52-2-5;0.95
T47-2-1;1.93
T53-1-3;1.36
T50-1-5;1.02
T54-1-5;0.95
T51-1-6;1.00
T46-1-4;0.94
T51-2-5;1.16
T46-2-6;1.01
T52-1-6;0.91
T47-1-4;0.96
T52-2-6;0.88
T47-2-5;0.93
T53-1-4;0.84
T51-1-5;1.60
T64-1-6;1.00
T56-1-4;3.10
T65-1-3;0.95
T60-1-4;0.98
T66-1-6;1.09
T61-1-5;4.25
T67-1-6;2.04
T61-2-4;1.33
T67-2-6;2.72
T64-1-5;1.38
T54-1-6;0.85
T65-1-2;1.39
T56-1-6;1.02
T66-1-5;1.09
T60-1-5;3.73
T67-1-5;28.92
T61-1-6;5.44
T67-2-5;4.57
T61-2-5;1.53
T46-1-5;0.98
T66-2-4;2.05
T56-2-6;1.25
T65-2-2;0.98
T54-2-6;1.03
T50-2-4;0.97
T12-2-5;0.93
T64-2-5;1.85
T11-2-6;1.09
T60-2-5;0.94
T42-2-6;1.85
T56-2-4;1.06
T66-2-5;1.08
T54-2-5;1.01
T65-2-3;1.10
T12-2-6;1.19
T50-2-6;1.00
T11-2-4;1.04
T64-2-6;1.06
T42-2-4;0.92
T60-2-4;0.89
T45-2-5;2.34
T24-2-3;1.56
T15-1-3;1.09
T45-2-6;2.20
T24-1-5;1.19
T50-1-6;27.20
T31-2-5;1.48
T24-2-4;1.20
T10-2-2;1.03
T14-1-3;1.07
