sampleID;leptin
T10-2-3;87.07
T11-1-5;78.46
T11-1-6;77.68
T12-1-5;76.90
T12-1-6;102.05
T13-1-1;89.43
T13-1-2;101.26
T14-1-4;92.58
T16-2-5;73.78
T16-2-6;113.17
T17-1-3;88.64
T17-1-4;75.34
T18-1-5;80.02
T18-1-6;76.12
T19-1-4;68.33
T19-1-5;89.43
T21-1-1;83.93
T21-1-3;92.58
T22-1-2;68.33
T22-1-4;92.58
T23-1-5;91.79
T23-1-6;78.46
T24-1-4;71.44
T26-2-5;78.46
T26-2-6;85.50
T29-2-2;71.44
T29-2-4;80.80
T31-2-6;73.78
T33-2-3;110.78
T33-2-4;169.77
T34-2-5;63.68
T34-2-6;91.00
T35-2-3;83.93
T35-2-4;83.93
T37-2-5;98.89
T37-2-6;69.11
T38-1-4;3721.46
T38-1-6;3771.26
T42-1-5;84.72
T42-1-6;94.15
T43-1-5;111.57
T43-1-6;80.02
T45-1-1;84.72
T10-1-4;83.93
T10-1-5;86.29
T13-2-2;62.90
T13-2-4;106.81
T14-2-2;79.24
T14-2-3;87.86
T15-1-6;87.07
T16-1-5;94.94
T16-1-6;94.15
T17-2-3;88.64
T17-2-4;74.56
T18-2-5;83.15
T18-2-6;93.36
T19-2-5;76.90
T19-2-6;87.07
T21-2-4;76.12
T21-2-5;85.50
T22-2-3;87.86
T22-2-4;58.26
T23-2-5;82.37
T23-2-6;79.24
T26-1-3;82.37
T26-1-4;79.24
T29-1-4;81.59
T29-1-6;109.98
T31-1-3;83.15
T31-1-4;88.64
T33-1-3;82.37
T33-1-4;85.50
T34-1-5;85.50
T34-1-6;93.36
T35-1-3;101.26
T35-1-4;111.57
T37-1-4;107.60
T37-1-5;102.84
T38-2-4;4105.26
T38-2-6;4107.11
T45-1-4;80.83
T51-2-1;73.03
T46-2-4;99.77
T52-1-5;95.32
T47-1-3;77.49
T52-2-5;105.33
T47-2-1;110.90
T53-1-3;85.29
T50-1-5;88.63
T54-1-5;77.49
T51-1-6;87.52
T46-1-4;76.37
T51-2-5;100.88
T46-2-6;85.29
T52-1-6;98.66
T47-1-4;98.66
T52-2-6;90.86
T47-2-5;96.43
T53-1-4;98.66
T51-1-5;91.98
T64-1-6;89.75
T56-1-4;87.52
T65-1-3;115.35
T60-1-4;77.49
T66-1-6;84.18
T61-1-5;128.68
T67-1-6;125.35
T61-2-4;103.11
T67-2-6;100.88
T64-1-5;123.13
T54-1-6;76.37
T65-1-2;117.57
T56-1-6;105.33
T66-1-5;100.88
T60-1-5;106.45
T67-1-5;89.75
T61-1-6;135.35
T67-2-5;142.01
T61-2-5;185.24
T46-1-5;109.78
T66-2-4;97.54
T56-2-6;116.46
T65-2-2;134.24
T54-2-6;128.68
T50-2-4;106.45
T12-2-5;97.54
T64-2-5;108.67
T11-2-6;91.98
T60-2-5;98.66
T42-2-6;93.09
T56-2-4;128.68
T66-2-5;98.66
T54-2-5;112.01
T65-2-3;125.35
T12-2-6;90.86
T50-2-6;94.20
T11-2-4;104.22
T64-2-6;106.45
T42-2-4;98.66
T60-2-4;138.68
T45-2-5;106.45
T24-2-3;118.68
T15-1-3;102.00
T45-2-6;85.29
T24-1-5;78.60
T50-1-6;106.45
T31-2-5;99.77
T24-2-4;102.00
T10-2-2;114.23
T14-1-3;112.01
