Index;Date;Temperature;Activity;X-axis;Y-axis;Z-axis;Marker
28320;20/7/2018 0:00;33.74;0;0.67212;0.572427;-0.536849;
28380;20/7/2018 0:01;33.78;0;0.67212;0.572427;-0.536849;
28440;20/7/2018 0:02;33.85;0;0.67212;0.572427;-0.536849;
28500;20/7/2018 0:03;33.88;0;0.67212;0.572427;-0.536849;
28560;20/7/2018 0:04;33.93;0;0.67212;0.572427;-0.536849;
28620;20/7/2018 0:05;33.98;0;0.67212;0.572427;-0.536849;
28680;20/7/2018 0:06;34.01;0;0.67212;0.572427;-0.536849;
28740;20/7/2018 0:07;34.05;0;0.67212;0.572427;-0.536849;
28800;20/7/2018 0:08;34.08;0;0.67212;0.572427;-0.536849;
28860;20/7/2018 0:09;34.12;0;0.67212;0.572427;-0.536849;
28920;20/7/2018 0:10;34.14;0;0.67212;0.572427;-0.536849;
28980;20/7/2018 0:11;34.16;68;-0.94276;0.328869;-0.107425;
29040;20/7/2018 0:12;33.99;457;-0.399291;1.01388;-0.0481936;
29100;20/7/2018 0:13;33.9;351;-0.33718;0.922543;-0.240694;
29160;20/7/2018 0:14;33.76;219;-0.104265;0.46587;0.869886;
29220;20/7/2018 0:15;33.6;1;-0.119792;0.46587;0.869886;
29280;20/7/2018 0:16;33.48;4;-0.13532;0.389758;0.884694;
29340;20/7/2018 0:17;33.41;0;-0.13532;0.389758;0.899502;
29400;20/7/2018 0:18;33.36;0;-0.197431;0.344091;0.914309;
29460;20/7/2018 0:19;33.32;0;-0.197431;0.328869;0.899502;
29520;20/7/2018 0:20;33.28;0;-0.197431;0.328869;0.899502;
29580;20/7/2018 0:21;33.26;0;-0.212959;0.328869;0.899502;
29640;20/7/2018 0:22;33.21;0;-0.212959;0.328869;0.914309;
29700;20/7/2018 0:23;33.2;0;-0.119792;0.435426;0.869886;
29760;20/7/2018 0:24;33.18;0;-0.088737;0.420203;0.884694;
29820;20/7/2018 0:25;33.16;0;-0.119792;0.420203;0.884694;
29880;20/7/2018 0:26;33.15;0;-0.119792;0.420203;0.884694;
29940;20/7/2018 0:27;33.13;0;-0.119792;0.420203;0.884694;
30000;20/7/2018 0:28;33.12;0;-0.119792;0.420203;0.884694;
30060;20/7/2018 0:29;33.15;0;-0.119792;0.420203;0.884694;
30120;20/7/2018 0:30;33.12;0;-0.104265;0.420203;0.884694;
30180;20/7/2018 0:31;33.13;0;-0.119792;0.420203;0.884694;
30240;20/7/2018 0:32;33.11;0;-0.119792;0.420203;0.869886;
30300;20/7/2018 0:33;33.08;0;-0.119792;0.420203;0.884694;
30360;20/7/2018 0:34;33.1;0;-0.104265;0.420203;0.884694;
30420;20/7/2018 0:35;33.08;0;-0.119792;0.420203;0.884694;
30480;20/7/2018 0:36;33.08;0;-0.119792;0.420203;0.884694;
30540;20/7/2018 0:37;33.08;0;-0.104265;0.420203;0.869886;
30600;20/7/2018 0:38;33.11;0;-0.119792;0.420203;0.869886;
30660;20/7/2018 0:39;33.09;0;-0.119792;0.420203;0.884694;
30720;20/7/2018 0:40;33.12;0;-0.119792;0.420203;0.884694;
30780;20/7/2018 0:41;33.11;0;-0.119792;0.420203;0.884694;
30840;20/7/2018 0:42;33.11;0;-0.104265;0.420203;0.884694;
30900;20/7/2018 0:43;33.12;0;-0.104265;0.420203;0.884694;
30960;20/7/2018 0:44;33.11;0;-0.088737;0.420203;0.884694;
31020;20/7/2018 0:45;33.11;0;-0.104265;0.420203;0.884694;
31080;20/7/2018 0:46;33.1;0;-0.104265;0.420203;0.884694;
31140;20/7/2018 0:47;33.09;0;-0.088737;0.420203;0.884694;
31200;20/7/2018 0:48;33.07;0;-0.104265;0.404981;0.884694;
31260;20/7/2018 0:49;33.07;0;-0.088737;0.404981;0.884694;
31320;20/7/2018 0:50;33.08;0;-0.088737;0.404981;0.884694;
31380;20/7/2018 0:51;33.09;0;-0.088737;0.420203;0.884694;
31440;20/7/2018 0:52;33.09;0;-0.088737;0.420203;0.884694;
31500;20/7/2018 0:53;33.09;0;-0.104265;0.404981;0.884694;
31560;20/7/2018 0:54;33.12;0;-0.104265;0.420203;0.884694;
31620;20/7/2018 0:55;33.11;0;-0.104265;0.420203;0.884694;
31680;20/7/2018 0:56;33.13;0;-0.104265;0.420203;0.884694;
31740;20/7/2018 0:57;33.15;0;-0.042154;0.420203;0.884694;
31800;20/7/2018 0:58;33.18;0;-0.042154;0.450648;0.869886;
31860;20/7/2018 0:59;33.22;0;-0.042154;0.450648;0.884694;
31920;20/7/2018 1:00;33.25;0;-0.042154;0.450648;0.869886;
31980;20/7/2018 1:01;33.27;0;-0.042154;0.435426;0.884694;
32040;20/7/2018 1:02;33.27;0;-0.0576817;0.435426;0.884694;
32100;20/7/2018 1:03;33.25;0;-0.042154;0.450648;0.884694;
32160;20/7/2018 1:04;33.22;0;-0.0576817;0.450648;0.884694;
32220;20/7/2018 1:05;33.24;0;-0.042154;0.435426;0.884694;
32280;20/7/2018 1:06;33.23;0;-0.0576817;0.420203;0.884694;
32340;20/7/2018 1:07;33.21;0;-0.0576817;0.420203;0.884694;
32400;20/7/2018 1:08;33.2;0;-0.042154;0.420203;0.884694;
32460;20/7/2018 1:09;33.18;0;-0.042154;0.404981;0.884694;
32520;20/7/2018 1:10;33.16;0;-0.0576817;0.420203;0.884694;
32580;20/7/2018 1:11;33.15;0;-0.042154;0.420203;0.899502;
32640;20/7/2018 1:12;33.13;0;-0.0576817;0.420203;0.884694;
32700;20/7/2018 1:13;33.13;0;-0.0576817;0.420203;0.884694;
32760;20/7/2018 1:14;33.13;0;-0.042154;0.404981;0.884694;
32820;20/7/2018 1:15;33.09;0;-0.042154;0.404981;0.899502;
32880;20/7/2018 1:16;33.1;0;-0.0266263;0.420203;0.884694;
32940;20/7/2018 1:17;33.08;0;-0.0266263;0.420203;0.884694;
33000;20/7/2018 1:18;33.08;0;-0.0266263;0.420203;0.884694;
33060;20/7/2018 1:19;33.05;0;-0.0266263;0.420203;0.884694;
33120;20/7/2018 1:20;33.05;0;-0.042154;0.420203;0.884694;
33180;20/7/2018 1:21;33.03;0;-0.0266263;0.420203;0.884694;
33240;20/7/2018 1:22;33.02;0;-0.0266263;0.420203;0.884694;
33300;20/7/2018 1:23;32.98;0;0.330511;0.450648;0.840271;
33360;20/7/2018 1:24;33.4;76;0.0665399;0.0853105;-1.0107;
33420;20/7/2018 1:25;33.66;0;0.0665399;0.0853105;-1.0107;
33480;20/7/2018 1:26;33.81;0;0.0665399;0.100533;-1.0107;
33540;20/7/2018 1:27;33.89;0;0.0665399;0.0853105;-1.0107;
33600;20/7/2018 1:28;33.99;0;0.0665399;0.100533;-1.0107;
33660;20/7/2018 1:29;34.1;0;0.0820676;0.100533;-1.0107;
33720;20/7/2018 1:30;34.16;0;0.0820676;0.100533;-1.0107;
33780;20/7/2018 1:31;34.2;0;0.0820676;0.100533;-1.0107;
33840;20/7/2018 1:32;34.28;0;0.113123;0.100533;-1.0107;
33900;20/7/2018 1:33;34.34;0;0.113123;0.100533;-1.0107;
33960;20/7/2018 1:34;34.4;0;0.113123;0.100533;-1.0107;
34020;20/7/2018 1:35;34.45;0;0.113123;0.100533;-1.0107;
34080;20/7/2018 1:36;34.49;0;0.113123;0.100533;-1.0107;
34140;20/7/2018 1:37;34.54;0;0.113123;0.115755;-1.0107;
34200;20/7/2018 1:38;34.57;0;0.128651;0.115755;-1.0107;
34260;20/7/2018 1:39;34.6;0;0.113123;0.100533;-1.0107;
34320;20/7/2018 1:40;34.63;0;0.113123;0.115755;-0.995889;
34380;20/7/2018 1:41;34.68;0;0.128651;0.115755;-1.0107;
34440;20/7/2018 1:42;34.71;0;0.128651;0.115755;-0.995889;
34500;20/7/2018 1:43;34.57;93;-0.0576817;0.404981;0.899502;
34560;20/7/2018 1:44;34.16;0;-0.0576817;0.404981;0.899502;
34620;20/7/2018 1:45;33.85;0;-0.0732093;0.420203;0.884694;
34680;20/7/2018 1:46;33.64;0;-0.0732093;0.420203;0.884694;
34740;20/7/2018 1:47;33.48;0;-0.0732093;0.435426;0.884694;
34800;20/7/2018 1:48;33.39;0;-0.0732093;0.435426;0.884694;
34860;20/7/2018 1:49;33.32;0;-0.0732093;0.435426;0.884694;
34920;20/7/2018 1:50;33.27;0;-0.0732093;0.450648;0.869886;
34980;20/7/2018 1:51;33.22;0;-0.0732093;0.435426;0.884694;
35040;20/7/2018 1:52;33.17;0;-0.0732093;0.435426;0.869886;
35100;20/7/2018 1:53;33.14;0;-0.0576817;0.435426;0.869886;
35160;20/7/2018 1:54;33.09;0;-0.0732093;0.450648;0.869886;
35220;20/7/2018 1:55;33.08;0;-0.0732093;0.450648;0.869886;
35280;20/7/2018 1:56;33.04;4;0.377094;0.58765;0.707001;
35340;20/7/2018 1:57;33.01;0;0.377094;0.572427;0.721809;
35400;20/7/2018 1:58;33.01;0;0.377094;0.572427;0.721809;
35460;20/7/2018 1:59;32.98;0;0.377094;0.572427;0.721809;
35520;20/7/2018 2:00;32.95;0;0.377094;0.572427;0.721809;
35580;20/7/2018 2:01;32.95;0;0.377094;0.572427;0.721809;
35640;20/7/2018 2:02;32.95;0;0.377094;0.572427;0.721809;
35700;20/7/2018 2:03;32.94;0;0.377094;0.572427;0.721809;
35760;20/7/2018 2:04;32.9;0;0.377094;0.572427;0.721809;
35820;20/7/2018 2:05;32.9;0;0.252872;0.541983;0.795848;
35880;20/7/2018 2:06;32.89;0;0.252872;0.52676;0.795848;
35940;20/7/2018 2:07;32.86;0;0.252872;0.52676;0.795848;
36000;20/7/2018 2:08;32.83;0;0.252872;0.52676;0.795848;
36060;20/7/2018 2:09;32.83;0;0.252872;0.52676;0.795848;
36120;20/7/2018 2:10;32.81;0;0.252872;0.52676;0.795848;
36180;20/7/2018 2:11;32.8;0;0.252872;0.52676;0.795848;
36240;20/7/2018 2:12;32.79;0;0.252872;0.52676;0.795848;
36300;20/7/2018 2:13;32.77;0;0.252872;0.52676;0.795848;
36360;20/7/2018 2:14;32.79;0;0.252872;0.52676;0.795848;
36420;20/7/2018 2:15;32.77;0;0.252872;0.52676;0.795848;
36480;20/7/2018 2:16;32.75;0;0.252872;0.52676;0.795848;
36540;20/7/2018 2:17;32.71;0;0.252872;0.52676;0.795848;
36600;20/7/2018 2:18;32.73;0;0.252872;0.52676;0.795848;
36660;20/7/2018 2:19;32.7;0;0.252872;0.52676;0.795848;
36720;20/7/2018 2:20;32.7;0;0.252872;0.52676;0.795848;
36780;20/7/2018 2:21;32.68;0;0.252872;0.52676;0.795848;
36840;20/7/2018 2:22;32.68;0;0.252872;0.52676;0.795848;
36900;20/7/2018 2:23;32.66;0;0.252872;0.52676;0.78104;
36960;20/7/2018 2:24;32.63;0;0.252872;0.52676;0.795848;
37020;20/7/2018 2:25;32.61;0;0.283928;0.496315;0.810655;
37080;20/7/2018 2:26;32.56;0;0.299455;0.496315;0.810655;
37140;20/7/2018 2:27;32.52;0;0.299455;0.496315;0.795848;
37200;20/7/2018 2:28;32.48;0;0.314983;0.496315;0.795848;
37260;20/7/2018 2:29;32.47;0;0.314983;0.496315;0.795848;
37320;20/7/2018 2:30;32.44;0;0.314983;0.496315;0.795848;
