Index;Date;Temperature;Activity;X-axis;Y-axis;Z-axis;Marker
21660;26/7/2018 0:00;30.12;0;-0.112339;-0.0078609;-1.00612;
21720;26/7/2018 0:01;30.14;0;-0.112339;-0.0078609;-1.02107;
21780;26/7/2018 0:02;30.14;0;-0.112339;0.00703959;-1.00612;
21840;26/7/2018 0:03;30.17;0;-0.112339;-0.0078609;-1.00612;
21900;26/7/2018 0:04;30.14;0;-0.112339;-0.0078609;-1.00612;
21960;26/7/2018 0:05;30.11;0;-0.112339;-0.0078609;-1.02107;
22020;26/7/2018 0:06;30.06;0;-0.112339;-0.0078609;-1.00612;
22080;26/7/2018 0:07;30.07;0;-0.112339;0.00703959;-1.02107;
22140;26/7/2018 0:08;30.04;0;-0.112339;-0.0078609;-1.00612;
22200;26/7/2018 0:09;29.96;0;-0.112339;-0.0078609;-1.00612;
22260;26/7/2018 0:10;29.97;0;-0.112339;-0.0078609;-1.02107;
22320;26/7/2018 0:11;29.95;0;-0.112339;-0.0078609;-1.00612;
22380;26/7/2018 0:12;29.96;0;-0.112339;0.00703959;-1.00612;
22440;26/7/2018 0:13;29.97;0;-0.112339;0.00703959;-1.00612;
22500;26/7/2018 0:14;30;0;-0.112339;-0.0078609;-1.00612;
22560;26/7/2018 0:15;29.97;0;-0.112339;-0.0078609;-1.00612;
22620;26/7/2018 0:16;29.94;0;-0.112339;-0.0078609;-1.02107;
22680;26/7/2018 0:17;29.95;0;-0.112339;-0.0078609;-1.00612;
22740;26/7/2018 0:18;29.96;0;-0.112339;-0.0078609;-1.00612;
22800;26/7/2018 0:19;29.98;0;-0.112339;-0.0078609;-1.00612;
22860;26/7/2018 0:20;29.97;0;-0.112339;-0.0078609;-1.00612;
22920;26/7/2018 0:21;29.95;0;-0.112339;-0.0078609;-1.00612;
22980;26/7/2018 0:22;29.92;0;-0.112339;-0.0078609;-1.02107;
23040;26/7/2018 0:23;29.89;0;-0.112339;-0.0078609;-1.00612;
23100;26/7/2018 0:24;29.9;0;-0.112339;-0.0078609;-1.00612;
23160;26/7/2018 0:25;29.93;0;-0.112339;-0.0078609;-1.00612;
23220;26/7/2018 0:26;29.9;0;-0.112339;-0.0078609;-1.00612;
23280;26/7/2018 0:27;29.91;0;-0.112339;-0.0078609;-1.00612;
23340;26/7/2018 0:28;29.94;0;-0.112339;-0.0078609;-1.00612;
23400;26/7/2018 0:29;29.96;0;-0.112339;-0.0078609;-1.00612;
23460;26/7/2018 0:30;29.95;0;-0.112339;0.00703959;-1.00612;
